Unique_ID,referenced_tweets,text,author_id,created_at,id,conversation_id,source,reply_settings,lang,public_metrics,in_reply_to_user_id,geo,withheld,Hashtags,covid_hashtags,brexit_hashtags,esg_hashtags,pred_x,label,score_x,pred_y,emotion_label,score_y,anger,disgust,fear,joy,neutral,sadness,surprise,Name,Profession,Age,Age_Group,Gender,Username;;;
"0,""[{'type': 'retweeted', 'id': '1476916508265783336'}]"",""RT @TheElders: """"True peace is never won by diplomatic deals alone but by investing in everyone who has been caught up in a conflict, acknow…"",8161232.0,2021-12-31T15:38:31.000Z,1476940842531229721,1476940842531229721,Twitter Web App,everyone,en,""{'retweet_count': 39, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0,1,POSITIVE,0.99870485,2,fear,0.31811628,0.26495162,0.0006661658,0.31811628,0.062449638,0.184452,0.13763267,0.031731714,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"1,,My thoughts on COVID and its effects on younger generations https://t.co/cHA9bfNqTV,8161232.0,2021-12-27T10:00:18.000Z,1475406173557997569,1475406173557997569,Hootsuite Inc.,everyone,en,""{'retweet_count': 131, 'reply_count': 214, 'like_count': 839, 'quote_count': 31}"",,,,[],0,0,0,1,POSITIVE,0.99737155,4,neutral,0.8451286,0.01347335,0.01161766,0.020254692,0.011955492,0.8451286,0.06103311,0.03653713,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"2,,""Thank you Arch for your love, life, laughter and leadership https://t.co/YYBh6RYhUz"",8161232.0,2021-12-26T10:00:04.000Z,1475043727840366597,1475043727840366597,Hootsuite Inc.,everyone,en,""{'retweet_count': 144, 'reply_count': 51, 'like_count': 1414, 'quote_count': 13}"",,,,[],0,0,0,1,POSITIVE,0.998721,3,joy,0.8282266,0.0040675662,0.00074865663,0.0016745357,0.8282266,0.111543454,0.012795876,0.040943343,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"3,,""I’m so sad that Archbishop Tutu has passed away – the world has lost a giant. He was a brave leader, a mischievous delight, a profound thinker, and a dear friend https://t.co/YYBh6RYhUz"",8161232.0,2021-12-26T08:09:55.000Z,1475016006603001860,1475016006603001860,Hootsuite Inc.,everyone,en,""{'retweet_count': 772, 'reply_count': 197, 'like_count': 6577, 'quote_count': 66}"",,,,[],0,0,0,0,NEGATIVE,0.9961877,5,sadness,0.9601344,0.001698685,0.0005099434,0.0032296805,0.010923585,0.0068805064,0.9601344,0.01662323,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"4,,Happy Christmas from my family to yours. https://t.co/EGjcgttVdv,8161232.0,2021-12-25T09:23:01.000Z,1474672016800239618,1474672016800239618,Twitter Media Studio,everyone,en,""{'retweet_count': 81, 'reply_count': 112, 'like_count': 930, 'quote_count': 10}"",,,,[],0,0,0,1,POSITIVE,0.99865353,3,joy,0.7469305,0.0026058906,0.00069444336,0.0016416274,0.7469305,0.06836533,0.023596197,0.15616605,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"5,,""Wow - stunning Christmas skies seen from a @VirginAtlantic flight. Looks perfect conditions for Santa's special night. Thanks Paul Williams, one of our most loyal of flyers, for the most magical of pictures @pcwilliams https://t.co/iS0oFTswpv"",8161232.0,2021-12-24T19:27:28.000Z,1474461742776438792,1474461742776438792,Twitter for iPhone,everyone,en,""{'retweet_count': 125, 'reply_count': 71, 'like_count': 1792, 'quote_count': 7}"",,,,[],0,0,0,1,POSITIVE,0.9988174,2,fear,0.4000998,0.006284233,0.0003649524,0.4000998,0.31624824,0.032010075,0.01542969,0.22956297,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"6,,Merry Christmas Eve Eve.,8161232.0,2021-12-23T12:00:38.000Z,1473986905620496394,1473986905620496394,Hootsuite Inc.,everyone,en,""{'retweet_count': 162, 'reply_count': 246, 'like_count': 2414, 'quote_count': 20}"",,,,[],0,0,0,1,POSITIVE,0.99887335,3,joy,0.84629923,0.0022655297,0.0017562805,0.00079514645,0.84629923,0.03701852,0.007186767,0.10467851,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"7,""[{'type': 'retweeted', 'id': '1473346213961363457'}]"",RT @VirginOrbit: 🚀ANNOUNCING🛰️We've been selected as the preferred launch partner of @Horizon_TechLLC - a UK-based global leader in space-b…,8161232.0,2021-12-22T10:39:34.000Z,1473604115766853634,1473604115766853634,Twitter Web App,everyone,en,""{'retweet_count': 41, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0,1,POSITIVE,0.998255,2,fear,0.6667691,0.17551906,0.0009951917,0.6667691,0.08829533,0.032948613,0.022762582,0.012710086,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"8,,I’ve really enjoyed reading a huge variety of different books with my @literati book club this year - there have been so many fascinating discussions and thought-provoking insights. Here’s what we’ve been reading: https://t.co/FmGQeMgF2x,8161232.0,2021-12-21T09:24:19.000Z,1473222790702637067,1473222790702637067,Hootsuite Inc.,everyone,en,""{'retweet_count': 48, 'reply_count': 72, 'like_count': 349, 'quote_count': 10}"",,,,[],0,0,0,1,POSITIVE,0.9988463,3,joy,0.90820754,0.0013947627,0.00029194847,0.0037732727,0.90820754,0.030007035,0.008650062,0.047675427,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"9,,""When @oceanunite launched six years ago, protecting 30% of the ocean by 2030 was an idea. Today, the 30x30 target is supported by more than 100 countries. But there’s a long way to go – here’s the latest https://t.co/SjbuZuL5Zs"",8161232.0,2021-12-20T16:00:40.000Z,1472960147630788616,1472960147630788616,Hootsuite Inc.,everyone,en,""{'retweet_count': 16, 'reply_count': 29, 'like_count': 137, 'quote_count': 3}"",,,,[],0,0,0,1,POSITIVE,0.9975434,4,neutral,0.3627296,0.046355344,0.0014601627,0.33521417,0.046396907,0.3627296,0.08903631,0.1188075,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"10,,""Here are my highlights of working with Ocean Unite. Now, with its new name, new partners, and new challenges to overcome, @ORRAAnews fight for the ocean will go from strength to strength https://t.co/SjbuZuL5Zs"",8161232.0,2021-12-20T16:00:40.000Z,1472960147463053313,1472960147463053313,Hootsuite Inc.,everyone,en,""{'retweet_count': 13, 'reply_count': 19, 'like_count': 91, 'quote_count': 3}"",,,,[],0,0,0,1,POSITIVE,0.99868184,0,anger,0.5548266,0.5548266,0.00059427705,0.37755996,0.015914913,0.012554489,0.033850193,0.0046994365,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
"11,""[{'type': 'retweeted', 'id': '1471962392192065539'}]"",RT @VancityReynolds: @richardbranson @blakelively @VirginVoyages Just heard the front door slam shut. Somebody left. I heard running. *SF…,8161232.0,2021-12-18T10:24:48.000Z,1472150848717438977,1472150848717438977,Twitter for iPhone,everyone,en,""{'retweet_count': 14, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0,0,NEGATIVE,0.9976262,2,fear,0.6291406,0.14205065,0.0010294438,0.6291406,0.13076374,0.013163288,0.05537531,0.028477022,Richard Branson,Tycoon,71,>70,m,@richardbranson";;;
